,case,location,date,summary,fatalities,injured,total_victims,place,age_of_shooter,prior_signs_mental_health_issues,mental_health_details,weapons_obtained_legally,where_obtained,weapon_type,weapon_details,race,gender,sources,mental_health_sources,sources_additional_age,latitude,longitude,type,year,s#
0,UNLV shooting,"Las Vegas, Nevada",2023-12-06,"Anthony Polito, 67, a former university professor, died in a shootout with police after opening fire on the UNLV campus.",3,1,4,School,67,-,-,-,-,semiautomatic handgun,-,White,M,https://www.nbcnews.com/news/us-news/anthony-polito-s-know-unlv-shooting-suspect-accused-killing-3-wounding-rcna128499; https://www.reviewjournal.com/crime/shootings/police-engaged-suspect-in-shootout-unlv-police-chief-says-2960370/; https://www.cnn.com/2023/12/06/us/university-of-nevada-las-vegas-campus-shooting/index.html; https://news.yahoo.com/authorities-responding-reports-multiple-victims-201320923.html,-,-,-,-,mass,2023.0,
1,Maine bowling alley and bar shootings,"Lewiston, Maine",2023-10-25,"Robert Card, 40, an Army reservist and firearms instructor, opened fire in the two locations, then fled and became the focus of an intensive manhunt. He was found two days later, dead from a self-inflicted gunshot. For several months prior to the attack, Card's family members, military colleagues and others sounded alarms about his erractic and troubling behaviors, and he had undergone a psychiatric evaluation, but no attempts were made under Maine law to remove firearms from Card. ",18,13,31,Other,40,yes,"Card reportedly spoke of ""hearing voices"" and had made threats about attacking a National Guard facility, among other behavioral warning signs prior to the attack. He subsequently had undergone a mental health evaluation and was released from the hospital after a two-week stay.",-,Yes,semiautomatic rifle,AR-15-style rifle (Rugar SFAR),White,M,https://www.washingtonpost.com/nation/2023/10/25/lewiston-maine-shooting-live-updates/; https://www.yahoo.com/gma/alleged-maine-gunman-tried-buy-110039296.html,https://www.nytimes.com/article/lewiston-maine-shootings.html; https://www.cnn.com/maine-shooting-robert-card-investigation/index.html,-,-,-,Spree,2023.0,
2,Jacksonville Dollar General store shooting,"Jacksonville, Florida",2023-08-26,"Ryan Palmeter, 21, outfitted in body armor, fatally shot three Black victims in what authorities said was a racist hate crime. He then shot himself to death on the scene as police responded. Palmeter had first gone to Edward Waters University, a historically Black college, but was refused entry.",3,0,3,workplace,21,yes,Palmeter was evaluated under Florida's Baker Act in 2017 (details unknown) and was the subject of a domestic disturbance call in 2016.,yes,local gun stores,"semiautomatic rifle, semiautomatic handgun",AR-15-style rifle; Glock pistol,White,M,https://www.washingtonpost.com/nation/2023/08/27/jacksonville-shooter-dollar-general-florida/; https://www.nytimes.com/2023/08/27/us/jacksonville-shooting-dollar-general.html; ,https://www.nbcnews.com/news/us-news/live-blog/jacksonville-shooting-gunman-wanted-kill-black-people-sheriff-says-rcna101985,-,-,-,mass,2023.0,
3,Orange County biker bar shooting,"Trabuco Canyon, California",2023-08-23,"John Snowling, 59, a retired sergeant from the Ventura Police Department, was targeting his estranged wife, and was killed by police responding to the scene.",3,6,9,Other,59,-,-,-,-,semiautomatic handguns; shotgun,-,White,M,https://www.ocregister.com/2023/08/24/cooks-corner-mass-shooter-a-crazy-ex-cop-reportedly-was-targeting-wife/; https://www.latimes.com/california/story/2023-08-23/mass-shooting-cooks-corner-biker-bar-trebuco-orange-county,-,-,-,-,mass,2023.0,
4,Philidelphia neighborhood shooting,"Philadelphia, Pennsylvania",2023-07-03,"Kimbrady Carriker, 40, wearing a ski mask and body armor, allegedly opened fire randomly in the street in a southwestern neighborhood of Philadelphia. Carriker, who lived nearby, was cornered by police and apprehended. Early statements from local authorities were conflicting about Carriker's gender but later clarified is male.",5,2,7,Other,40,yes,The perpetrator reportedly posted disturbing content on social media,yes,-,"semiautomatic rifle, semiautomatic handgun",AR-15-style rifle,Black,M,https://6abc.com/philly-mass-shooting-suspect-charged-with-5-counts-of-murder/13463565/; https://www.nytimes.com/2023/07/04/us/five-people-dead-philaldelphia-shooting.html; https://www.cnn.com/2023/07/05/us/philadelphia-mass-shooting-victims/index.html; https://www.cnn.com/2023/07/04/us/philadelphia-shooting-motive-suspect-tuesday/index.html,https://6abc.com/philly-mass-shooting-suspect-charged-with-5-counts-of-murder/13463565/; https://www.nytimes.com/2023/07/05/us/philadelphia-shooting-suspect-kimbrady-carriker.html,-,-,-,mass,2023.0,
5,New Mexico neighborhood shooting,"Farmington, New Mexico",2023-05-15,"Beau Wilson, 18, opened fire in a residential neighborhood around his home; he shot randomly at people, houses and cars, according to local authorities. A high school student, he wore body armor and used multiple guns, including an ""AR-15-style rifle,"" and was shot dead by responding police. ",3,6,9,Other,18,yes,-,yes,-,semiautiomatic rifle; semiautomatic pistol,AR-15-style rifle,White,M,https://www.cbsnews.com/news/farmington-shooting-new-mexico-suspect-dead/; https://www.cnn.com/2023/05/16/us/farmington-new-mexico-shooting-tuesday/index.html; https://www.nbcnews.com/news/us-news/beau-wilson-teen-killed-three-women-mental-health-issues-rcna84884,https://www.nbcnews.com/news/us-news/beau-wilson-teen-killed-three-women-mental-health-issues-rcna84884,-,-,-,mass,2023.0,
6,Texas outlet mall shooting,"Allen, Texas",2023-05-06,"Mauricio Garcia, 33, wore tactical gear and used an AR-15 to open fire outside a shopping mall in the city just north of Dallas; he was shot dead by a police officer who was nearby and responded to the attack. Investigators found evidence Garcia may have been motivated in part by far-right extremist ideology.",8,7,15,Other,33,yes,Reportedly had a history of mental health problems that led to the end of his military service,yes,-,semiautomatic rifle,AR-15-style rifle,Latino,M,https://www.nytimes.com/2023/05/07/us/texas-mall-shooting-allen.html; https://www.washingtonpost.com/nation/2023/05/07/allen-mall-shooter-mauricio-garcia/; https://www.washingtonpost.com/nation/2023/05/07/texas-allen-outlets-shooting-dallas/; https://www.nytimes.com/2023/05/08/us/texas-mall-shooting-mauricio-garcia.html; https://www.cnn.com/2023/05/08/us/allen-texas-mall-shooting-gunman-monday/index.html,-,-,-,-,Mass,2023.0,
7,Louisville bank shooting,"Louisville, Kentucky",2023-04-10,"Connor Sturgeon, 25, opened fire inside Old National Bank, killing and injuring multiple victims, including responding police officers; he died in a shootout with police. He told at least one person before the attack that he was suicidal, and left a note that he intended to open fire at the bank, according to local authorities.",5,8,13,workplace,25,yes,-,yes,gun dealership in Louisville,semiautomatic rifle,AR-15 rifle,White,M,https://apnews.com/article/downtown-louisville-shooting-dc7b45a9c5d2b384a16d653864f8b735; https://www.cnn.com/us/live-news/louisville-kentucky-shooting-04-10-23/h_b084de40349360baa53309aed0393a4f; https://www.nytimes.com/2023/04/11/us/louisville-shooting-gunman.html,-,-,-,-,Mass,2023.0,
8,Nashville Christian school shooting,"Nashville, Tennessee",2023-03-27,"Audrey Hale, 28, who was a former student at the private Covenant School (pre-school; K-6), killed three adults and three 9-year-old children, before being shot dead by responding police.",6,6,12,School,28,-,-,yes,-,"semiautomatic rifle, semiautomatic handgun",-,White,"F (""identifies as transgender"" and ""Audrey Hale is a biological woman who, on a social media profile, used male pronouns,” according to Nashville Metro PD officials)",https://www.tennessean.com/story/news/crime/2023/03/27/nashville-mourns-mass-shooting-covenant-school/70052585007/; https://www.wsmv.com/2023/03/27/vumc-3-students-2-adults-dead-police-say-shooter-also-dead-covenant-school/; https://www.washingtonpost.com/nation/2023/03/27/nashville-shooting-covenant-school/; https://www.nytimes.com/live/2023/03/27/us/nashville-shooting-covenant-school; https://www.nytimes.com/article/nashville-school-shooting-tennessee.html; https://www.washingtonpost.com/nation/2023/03/27/nashville-school-shooting/,-,-,-,-,Mass,2023.0,
9,Michigan State University shooting,"East Lansing, Michigan",2023-02-13,"Anthony D. McRae, 43, opened fire at Berkey Hall and the MSU union, according to local police. Following an intense manhunt in the area, he was found dead from a self-inflicted gunshot wound, police said.",3,5,8,School,43,-,-,yes,-,semiautomatic handguns,-,Black,M,https://www.cnn.com/us/live-news/michigan-state-university-shooting-updates-2-13-23/index.html; https://www.freep.com/story/news/local/michigan/2023/02/13/michigan-state-shooting-what-we-know-about-shots-fired-on-campus/69901251007/; https://abcnews.go.com/US/anthony-mcrae-suspected-michigan-state-shooter/story?id=97195504; https://www.nytimes.com/2023/02/16/us/michigan-state-shooting-professor-berkey-hall.html?referringSource=articleShare,-,-,-,-,Mass,2023.0,
